model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Llama-3.1-8B-Instruct,16,2048,3,target_decode_sd,11.1701875,10.963000000000001,0.3899841549717531,10.684,11.778,32
Llama-3.1-8B-Instruct,16,4096,3,target_decode_sd,11.34765625,11.2425,0.6449864519394838,10.446,12.572,32
Llama-3.1-8B-Instruct,24,256,3,target_decode_sd,11.59453125,11.686,1.021452696846585,10.493,12.749,32
Llama-3.1-8B-Instruct,24,512,3,target_decode_sd,11.404125,11.0045,0.9872790810459663,10.435,12.738,32
Llama-3.1-8B-Instruct,24,1024,3,target_decode_sd,10.85484375,10.9585,0.2604143236453736,10.487,11.201,32
Llama-3.1-8B-Instruct,24,2048,3,target_decode_sd,11.0214375,10.969000000000001,0.3533898457292118,10.667,11.832,32
Llama-3.1-8B-Instruct,24,4096,3,target_decode_sd,11.4134375,11.236,0.720867127369934,10.518,12.765,32
Llama-3.1-8B-Instruct,32,256,3,target_decode_sd,11.69053125,11.746500000000001,1.1316813635778205,10.462,12.948,32
Llama-3.1-8B-Instruct,32,512,3,target_decode_sd,11.55628125,11.2595,1.1051770908853213,10.406,12.963,32
Llama-3.1-8B-Instruct,32,1024,3,target_decode_sd,11.27796875,11.378,0.704029347096114,10.479,12.232,32
Llama-3.1-8B-Instruct,32,2048,3,target_decode_sd,11.361375,11.229,0.6380997368699883,10.643,12.227,32
Llama-3.1-8B-Instruct,32,4096,3,target_decode_sd,11.57240625,11.0595,1.3010326136938926,10.559,14.512,32
Llama-3.1-8B-Instruct,48,256,3,target_decode_sd,12.00965625,11.0105,1.8273738358881881,10.426,14.5,32
Llama-3.1-8B-Instruct,48,512,3,target_decode_sd,10.82296875,10.779,0.3107962183079391,10.442,11.239,32
Llama-3.1-8B-Instruct,48,1024,3,target_decode_sd,10.94321875,10.788499999999999,0.5568390474799582,10.488,12.242,32
Llama-3.1-8B-Instruct,48,2048,3,target_decode_sd,11.45525,11.4385,0.6800884192989292,10.688,12.347,32
Llama-3.1-8B-Instruct,48,4096,3,target_decode_sd,11.966875,11.5475,1.4151457180183975,10.566,14.859,32
Llama-3.1-8B-Instruct,64,256,3,target_decode_sd,11.03975,10.5575,1.1090491131973692,10.391,14.827,32
Llama-3.1-8B-Instruct,64,512,3,target_decode_sd,11.744875,11.936,1.2153605797086218,10.425,13.129,32
Llama-3.1-8B-Instruct,64,1024,3,target_decode_sd,11.63375,11.258,1.1298584553085655,10.489,13.137,32
Llama-3.1-8B-Instruct,64,2048,3,target_decode_sd,11.3309375,11.317499999999999,0.7103625579305807,10.659,13.259,32
Llama-3.1-8B-Instruct,64,4096,3,target_decode_sd,11.864333333333333,11.609,0.9647073296518784,10.882,13.297,24
Llama-3.1-8B-Instruct,0,0,3,target_verify,9.930854166666666,9.93,0.022039606112375407,9.886,9.982,48
Llama-3.1-8B-Instruct,1,256,3,target_verify,9.987171875,9.9455,0.0887628562511882,9.86,10.173,192
Llama-3.1-8B-Instruct,1,512,3,target_verify,10.229229166666666,10.123,0.17745020563507435,10.056,10.53,192
Llama-3.1-8B-Instruct,1,1024,3,target_verify,10.726348958333334,10.507,0.347736703215676,10.427,11.305,192
Llama-3.1-8B-Instruct,1,2048,3,target_verify,11.72275,11.257,0.7120259569361115,11.187,12.947,192
